iter	Passed	Remaining
505	710	693
506	712	693
507	714	691
508	716	690
509	718	690
510	720	689
511	721	687
512	722	686
513	724	684
514	725	683
515	727	682
516	729	681
517	730	679
518	731	678
519	733	676
520	734	675
521	735	673
522	736	672
523	738	670
524	739	668
525	740	667
526	741	665
527	744	665
528	745	663
529	746	662
530	747	660
531	748	658
532	749	657
533	751	655
534	752	653
535	753	652
536	754	650
537	756	650
538	758	648
539	760	647
540	761	645
541	762	644
542	764	643
543	766	642
544	767	640
545	769	639
546	770	638
547	771	636
548	772	634
549	774	633
550	776	632
551	777	631
552	779	629
553	780	628
554	781	626
555	786	627
556	788	626
557	790	626
558	792	624
559	793	623
560	794	621
561	795	620
562	796	618
563	798	617
564	799	615
565	800	613
566	802	612
567	803	611
568	805	609
569	806	608
570	807	606
571	808	605
572	809	603
573	811	602
574	812	600
575	813	598
576	814	597
577	815	595
578	817	594
579	819	593
580	821	592
581	823	591
582	824	589
583	825	587
584	826	586
585	827	584
586	828	583
587	830	581
588	831	580
589	833	578
590	834	577
591	835	575
592	836	574
593	838	572
594	839	571
595	840	569
596	841	568
597	842	566
598	843	564
599	845	563
600	845	561
601	847	560
602	848	558
603	849	556
604	850	555
605	851	553
606	853	552
607	854	550
608	855	549
609	856	547
610	857	545
611	858	544
612	859	542
613	860	540
614	861	539
615	862	537
616	863	536
617	864	534
618	865	532
619	867	531
620	868	529
621	869	528
622	870	526
623	871	525
624	872	523
625	873	521
626	874	520
627	875	518
628	876	517
629	877	515
630	878	513
631	879	512
632	880	510
633	882	509
634	883	507
635	884	506
636	885	504
637	886	503
638	887	501
639	888	499
640	889	498
641	890	496
642	891	495
643	892	493
644	893	491
645	895	490
646	896	489
647	898	487
648	899	486
649	900	484
650	901	483
651	902	481
652	903	480
653	904	478
654	905	477
655	906	475
656	908	474
657	909	472
658	910	471
659	911	469
660	912	468
661	913	466
662	914	465
663	915	463
664	917	462
665	918	460
666	919	459
667	920	457
668	922	456
669	923	454
670	924	453
671	925	451
672	927	450
673	928	449
674	929	447
675	930	446
676	931	444
677	933	443
678	934	441
679	935	440
680	936	438
681	937	437
682	939	435
683	940	434
684	941	432
685	942	431
686	944	430
687	945	428
688	946	427
689	947	425
690	949	424
691	950	422
692	951	421
693	953	420
694	954	418
695	955	417
696	956	415
697	958	414
698	959	413
699	961	411
700	962	410
701	963	409
702	964	407
703	966	406
704	967	404
705	969	403
706	970	402
707	971	400
708	972	399
709	974	398
710	975	396
711	977	395
712	978	393
713	980	392
714	981	391
715	982	389
716	983	388
717	988	388
718	990	387
719	992	385
720	994	384
721	995	383
722	997	382
723	998	380
724	999	379
725	1001	377
726	1002	376
727	1003	374
728	1004	373
729	1006	372
730	1007	370
731	1009	369
732	1012	368
733	1013	367
734	1014	365
735	1015	364
736	1016	362
737	1017	361
738	1018	359
739	1019	358
740	1020	356
741	1022	355
742	1025	354
743	1028	353
744	1029	352
745	1031	351
746	1032	349
747	1033	348
748	1034	346
749	1036	345
750	1037	344
751	1038	342
752	1041	341
753	1043	340
754	1044	338
755	1046	337
756	1048	336
757	1049	335
758	1050	333
759	1051	332
760	1052	330
761	1054	329
762	1055	327
763	1057	326
764	1058	325
765	1059	323
766	1061	322
767	1062	320
768	1063	319
769	1064	317
770	1065	316
771	1066	314
772	1067	313
773	1068	312
774	1069	310
775	1071	309
776	1073	308
777	1074	306
778	1075	305
779	1077	303
780	1078	302
781	1079	300
782	1080	299
783	1124	309
784	1126	308
785	1128	307
786	1129	305
787	1131	304
788	1132	302
789	1134	301
790	1135	300
791	1137	298
792	1138	297
793	1139	295
794	1140	294
795	1141	292
796	1142	291
797	1143	289
798	1144	287
799	1145	286
800	1146	284
801	1147	283
802	1149	282
803	1151	280
804	1152	279
805	1153	277
806	1154	276
807	1155	274
808	1156	273
809	1157	271
810	1159	270
811	1160	268
812	1161	267
813	1162	265
814	1163	264
815	1164	262
816	1165	261
817	1166	259
818	1167	258
819	1168	256
820	1171	255
821	1172	253
822	1173	252
823	1174	250
824	1175	249
825	1177	247
826	1178	246
827	1179	245
828	1181	243
829	1182	242
830	1183	240
831	1184	239
832	1186	237
833	1187	236
834	1188	234
835	1189	233
836	1190	231
837	1191	230
838	1192	228
839	1193	227
840	1195	225
841	1196	224
842	1199	223
843	1201	222
844	1202	220
845	1203	219
846	1204	217
847	1207	216
848	1209	215
849	1210	213
850	1211	212
851	1212	210
852	1214	209
853	1215	207
854	1216	206
855	1217	204
856	1218	203
857	1219	201
858	1220	200
859	1221	198
860	1222	197
861	1223	195
862	1224	194
863	1225	192
864	1227	191
865	1228	190
866	1230	188
867	1231	187
868	1232	185
869	1233	184
870	1235	182
871	1236	181
872	1237	180
873	1238	178
874	1239	177
875	1241	175
876	1242	174
877	1243	172
878	1244	171
879	1245	169
880	1246	168
881	1248	166
882	1249	165
883	1250	164
884	1251	162
885	1253	161
886	1254	159
887	1255	158
888	1256	156
889	1257	155
890	1259	154
891	1260	152
892	1261	151
893	1262	149
894	1263	148
895	1265	146
896	1266	145
897	1267	143
898	1268	142
899	1269	141
900	1270	139
901	1271	138
902	1272	136
903	1273	135
904	1274	133
905	1276	132
906	1278	131
907	1280	129
908	1281	128
909	1282	126
910	1283	125
911	1285	124
912	1286	122
913	1287	121
914	1288	119
915	1289	118
916	1291	116
917	1292	115
918	1294	114
919	1296	112
920	1297	111
921	1298	109
922	1299	108
923	1301	107
924	1302	105
925	1303	104
926	1304	102
927	1306	101
928	1307	99
929	1308	98
930	1309	97
931	1310	95
932	1311	94
933	1313	92
934	1314	91
935	1315	89
936	1316	88
937	1317	87
938	1318	85
939	1320	84
940	1321	82
941	1324	81
942	1326	80
943	1327	78
944	1328	77
945	1330	75
946	1331	74
947	1334	73
948	1336	71
949	1338	70
950	1341	69
951	1343	67
952	1344	66
953	1346	64
954	1347	63
955	1349	62
956	1351	60
957	1354	59
958	1356	58
959	1358	56
960	1360	55
961	1363	53
962	1365	52
963	1366	51
964	1368	49
965	1369	48
966	1371	46
967	1373	45
968	1375	44
969	1377	42
970	1378	41
971	1381	39
972	1382	38
973	1384	36
974	1386	35
975	1388	34
976	1390	32
977	1392	31
978	1394	29
979	1395	28
980	1397	27
981	1400	25
982	1401	24
